voie;id_bien;type_de_voie;id_no_voie
G LE CONQUERANT;693;RUE;54
DE LA LIBERTE;694;BD;14
DU VERCORS;695;RUE;9
DES GLENAN;696;AV;38
ILE CAVALLO;697;;6572
TIUCCIA;698;;5163
D AUVERGNE;699;RUE;5
LE CENTURION;700;AV;2
REGNAULD;701;AV;24
DU PARC;702;AV;6
BONGRAND;703;RUE;26
TRUCHON;704;RUE;267
ANDRE MALRAUX;705;RUE;14
DES GRIVES;706;ALL;18
SIMONE VEIL;707;RUE;3
FORTUNIO;708;RES;9001
DE VIC;709;CLOS;11
JOSEPH PANAGET;710;RUE;19
FRANCIS POULENC;711;RUE;4
DE STALINGRAD;712;RUE;52
ANTOINE POLOTTI;713;RUE;13
ANNE FRANK;714;RUE;9
PEYCHAN;715;RUE;54
PORTE CAMPET;716;PL;4
DU REGAIN;717;ALL;154
DU CHATEAU GAILLARD;718;RUE;6
DES PATURES;719;RUE;3
DES SANSONNETS;720;RUE;57
DE L ARDOUX;721;RUE;227
SAINT MICHEL;722;AV;123
DES TROIS MARIES;723;RUE;11
DE LA BUTTE;724;RUE;21
GARNIER;725;RUE;16
JEAN LURCAT;726;AV;2
DU GENERAL COMPERE;727;RUE;30
ARISTIDE BRIAND;728;RUE;13
SAINT REMY;729;PL;3
JOSEPH MARIETTE;730;RUE;13
DE QUEHELLO;731;RUE;25
RAYMOND QUERO;732;RUE;14
DE LA FRANGE;733;ALL;1
SALVADOR ALLENDE;734;RUE;14
DU PROGRES;735;RUE;48
DE LA REPUBLIQUE;736;RUE;22
PELEE PROLONGEE;737;RUE;136
DE L'ORANGERIE;738;AV;57
DU BLOC;739;RUE;3
DES PINS;740;RUE;12
JEAN JAURES;741;PL;24
DUBREUIL;742;RUE;15
DE LA GARE;743;RUE;92
DUGAS MONTBEL;744;RUE;13
PANAMA;745;PAS;9
DENFERT ROCHEREAU;746;RUE;39
DES CANUTS;747;BD;55
COMMANDANT CHARCOT;748;RUE;64
EMILE ZOLA;749;BD;27
BALCONS DE VAL THO CHAL 6;750;;6018
DE SALLANCHES;751;RTE;396
DE LA PRAIRIE;752;RUE;2
DE CLERY;753;RUE;54
DE LA CORDERIE;754;RUE;9
DES ARCHIVES;755;RUE;79
DU PERCHE;756;RUE;3
SAINT MARTIN;757;RUE;24
DU FER A MOULIN;758;RUE;34
MONSIEUR LE PRINCE;759;RUE;62
JOSEPH BARA;760;RUE;8
DE FLEURUS;761;RUE;9
DE RENNES;762;RUE;150
AMELIE;763;RUE;9
