code_region;code_departement;id_commune;nom_commune
32;02;02072;BERRIEUX
32;02;02073;BERRY AU BAC
32;02;02074;BERTAUCOURT EPOURDON
32;02;02075;BERTHENICOURT
32;02;02076;BERTRICOURT
32;02;02077;BERZY LE SEC
32;02;02078;BESME
32;02;02079;BESMONT
32;02;02080;BESNY ET LOIZY
32;02;02081;BETHANCOURT EN VAUX
32;02;02082;BEUGNEUX
32;02;02083;BEUVARDES
32;02;02084;BEZU LE GUERY
32;02;02085;BEZU ST GERMAIN
32;02;02086;BICHANCOURT
32;02;02087;BIEUXY
32;02;02088;BIEVRES
32;02;02089;BILLY SUR AISNE
32;02;02090;BILLY SUR OURCQ
32;02;02091;BLANZY LES FISMES
32;02;02092;BLERANCOURDELLE
32;02;02093;BLERANCOURT
32;02;02094;BLESMES
32;02;02095;BOHAIN EN VERMANDOIS
32;02;02096;BOIS LES PARGNY
32;02;02097;BONCOURT
32;02;02098;BONNEIL
32;02;02099;BONNESVALYN
32;02;02100;BONY
32;02;02101;BOSMONT SUR SERRE
32;02;02102;BOUCONVILLE VAUCLAIR
32;02;02103;BOUE
32;02;02104;BOUFFIGNEREUX
32;02;02105;BOURESCHES
32;02;02106;BOURG ET COMIN
32;02;02107;BOURGUIGNON SOUS COUCY
32;02;02108;BOURGUIGNON SOUS MONTBAVIN
32;02;02109;LA BOUTEILLE
32;02;02110;BRAINE
32;02;02111;BRANCOURT EN LAONNOIS
32;02;02112;BRANCOURT LE GRAND
32;02;02113;BRANGES
32;02;02114;BRASLES
32;02;02115;BRAYE EN LAONNOIS
32;02;02116;BRAYE EN THIERACHE
32;02;02117;BRAY ST CHRISTOPHE
32;02;02118;BRAYE SOUS CLAMECY
32;02;02119;BRECY
32;02;02120;BRENELLE
32;02;02121;BRENY
32;02;02122;BRIE
32;02;02123;BRISSAY CHOIGNY
32;02;02124;BRISSY HAMEGICOURT
32;02;02125;BRUMETZ
32;02;02126;BRUNEHAMEL
32;02;02127;BRUYERES SUR FERE
32;02;02128;BRUYERES ET MONTBERAULT
32;02;02129;BRUYS
32;02;02130;BUCILLY
32;02;02131;BUCY LE LONG
32;02;02132;BUCY LES CERNY
32;02;02133;BUCY LES PIERREPONT
32;02;02134;BUIRE
32;02;02135;BUIRONFOSSE
32;02;02136;BURELLES
32;02;02137;BUSSIARES
32;02;02138;BUZANCY
32;02;02139;CAILLOUEL CREPIGNY
32;02;02140;CAMELIN
32;02;02141;LA CAPELLE
32;02;02142;CASTRES
32;02;02143;LE CATELET
32;02;02144;CAULAINCOURT
32;02;02145;CAUMONT
32;02;02146;CELLES LES CONDE
32;02;02147;LA CELLE SOUS MONTMIRAIL
32;02;02148;CELLES SUR AISNE
32;02;02149;CERIZY
32;02;02150;CERNY EN LAONNOIS
32;02;02151;CERNY LES BUCY
32;02;02152;CERSEUIL
32;02;02153;CESSIERES
32;02;02154;CHACRISE
